ALG01;CPV16;IRN05;PAR14
BEL05;ECU20;KOR09;SCO18
BEL06;EGY01;KOR10;SCO19
BEL07;EGY02;KOR11;SCO20
BEL08;EGY03;KOR12;SEN01
BEL09;EGY04;KOR13;SEN02
BEL10;EGY05;KOR14;SEN03
BEL11;EGY06;KOR15;SEN04
BEL12;EGY07;KOR16;SEN05
BEL13;EGY08;KOR17;SEN06
BEL14;EGY09;KOR18;SEN07
BEL15;EGY10;KOR19;SEN08
BEL16;EGY11;KOR20;SEN09
BEL17;EGY12;KSA01;SEN10
BEL18;EGY13;KSA02;SEN11
BEL19;EGY14;KSA03;SEN12
BEL20;EGY15;KSA04;SEN13
BIH01;EGY16;KSA05;SEN14
BIH02;EGY17;KSA06;SEN15
BIH03;EGY18;KSA07;SEN16
BIH04;EGY19;KSA08;SEN17
BIH05;EGY20;KSA09;SEN18
BIH06;ENG01;KSA10;SEN19
BIH07;ENG02;KSA11;SEN20
BIH08;ENG03;KSA12;SUI01
BIH09;ENG04;KSA13;SUI02
BIH10;ENG05;KSA14;SUI03
BIH11;ENG06;KSA15;SUI04
BIH12;ENG07;KSA16;SUI05
BIH13;ENG08;KSA17;SUI06
BIH14;ENG09;KSA18;SUI07
BIH15;ENG10;KSA19;SUI08
BIH16;ENG11;KSA20;SUI09
BIH17;ENG12;MAR01;SUI10
BIH18;ENG13;MAR02;SUI11
BIH19;ENG14;MAR03;SUI12
BIH20;ENG15;MAR04;SUI13
BRA01;ENG16;MAR05;SUI14
BRA02;ENG17;MAR06;SUI15
BRA03;ENG18;MAR07;SUI16
BRA04;ENG19;MAR08;SUI17
BRA05;ENG20;MAR09;SUI18
BRA06;ESP01;MAR10;SUI19
BRA07;ESP02;MAR11;SUI20
BRA08;ESP03;MAR12;SWE01
BRA09;ESP04;MAR13;SWE02
BRA10;ESP05;MAR14;SWE03
BRA11;ESP06;MAR15;SWE04
BRA12;ESP07;MAR16;SWE05
BRA13;ESP08;MAR17;SWE06
BRA14;ESP09;MAR18;SWE07
BRA15;ESP10;MAR19;SWE08
BRA16;ESP11;MAR20;SWE09
BRA17;ESP12;MEX01;SWE10
BRA18;ESP13;MEX02;SWE11
BRA19;ESP14;MEX03;SWE12
BRA20;ESP15;MEX04;SWE13
CAN01;ESP16;MEX05;SWE14
CAN02;ESP17;MEX06;SWE15
CAN03;ESP18;MEX07;SWE16
CAN04;ESP19;MEX08;SWE17
CAN05;ESP20;MEX09;SWE18
CAN06;FRA01;MEX10;SWE19
CAN07;FRA02;MEX11;SWE20
CAN08;FRA03;MEX12;TUN01
CAN09;FRA04;MEX13;TUN02
CAN10;FRA05;MEX14;TUN03
CAN11;FRA06;MEX15;TUN04
CAN12;FRA07;MEX16;TUN05
CAN13;FRA08;MEX17;TUN06
CAN14;FRA09;MEX18;TUN07
CAN15;FRA10;MEX19;TUN08
CAN16;FRA11;MEX20;TUN09
CAN17;FRA12;NED01;TUN10
CAN18;FRA13;NED02;TUN11
CAN19;FRA14;NED03;TUN12
CAN20;FRA15;NED04;TUN13
CC01;FRA16;NED05;TUN14
CC02;FRA17;NED06;TUN15
CC03;FRA18;NED07;TUN16
CC04;FRA19;NED08;TUN17
CC05;FRA20;NED09;TUN18
CC06;PNN00;NED10;TUN19
CC07;FWC01;NED11;TUN20
CC08;FWC02;NED12;TUR01
CC09;FWC03;NED13;TUR02
CC10;FWC04;NED14;TUR03
CC11;FWC05;NED15;TUR04
CC12;FWC06;NED16;TUR05
CC13;FWC07;NED17;TUR06
CC14;FWC08;NED18;TUR07
CIV01;FWC09;NED19;TUR08
CIV02;FWC10;NED20;TUR09
CIV03;FWC11;NOR01;TUR10
CIV04;FWC12;NOR02;TUR11
CIV05;FWC13;NOR03;TUR12
CIV06;FWC14;NOR04;TUR13
CIV07;FWC15;NOR05;TUR14
CIV08;FWC16;NOR06;TUR15
CIV09;FWC17;NOR07;TUR16
CIV10;FWC18;NOR08;TUR17
CIV11;FWC19;NOR09;TUR18
CIV12;GER01;NOR10;TUR19
CIV13;GER02;NOR11;TUR20
CIV14;GER03;NOR12;URU01
CIV15;GER04;NOR13;URU02
CIV16;GER05;NOR14;URU03
CIV17;GER06;NOR15;URU04
CIV18;GER07;NOR16;URU05
CIV19;GER08;NOR17;URU06
CIV20;GER09;NOR18;URU07
COD01;GER10;NOR19;URU08
COD02;GER11;NOR20;URU09
COD03;GER12;NZL01;URU10
COD04;GER13;NZL02;URU11
COD05;GER14;NZL03;URU12
COD06;GER15;NZL04;URU13
COD07;GER16;NZL05;URU14
COD08;GER17;NZL06;URU15
COD09;GER18;NZL07;URU16
COD10;GER19;NZL08;URU17
COD11;GER20;NZL09;URU18
COD12;GHA01;NZL10;URU19
COD13;GHA02;NZL11;URU20
COD14;GHA03;NZL12;USA01
COD15;GHA04;NZL13;USA02
COD16;GHA05;NZL14;USA03
COD17;GHA06;NZL15;USA04
COD18;GHA07;NZL16;USA05
COD19;GHA08;NZL17;USA06
COD20;GHA09;NZL18;USA07
COL01;GHA10;NZL19;USA08
COL02;GHA11;NZL20;USA09
COL03;GHA12;PAN01;USA10
COL04;GHA13;PAN02;USA11
COL05;GHA14;PAN03;USA12
COL06;GHA15;PAN04;USA13
COL07;GHA16;PAN05;USA14
COL08;GHA17;PAN06;USA15
COL09;GHA18;PAN07;USA16
COL10;GHA19;PAN08;USA17
COL11;GHA20;PAN09;USA18
COL12;HAI01;PAN10;USA19
COL13;HAI02;PAN11;USA20
COL14;HAI03;PAN12;UZB01
COL15;HAI04;PAN13;UZB02
COL16;HAI05;PAN14;UZB03
COL17;HAI06;PAN15;UZB04
COL18;HAI07;PAN16;UZB05
COL19;HAI08;PAN17;UZB06
COL20;HAI09;PAN18;UZB07
CPV01;HAI10;PAN19;UZB08
CPV02;HAI11;PAN20;UZB09
CPV03;HAI12;PAR01;UZB10
CPV04;HAI13;PAR02;UZB11
CPV05;HAI14;PAR03;UZB12
CPV06;HAI15;PAR04;UZB13
CPV07;HAI16;PAR05;UZB14
CPV08;HAI17;PAR06;UZB15
CPV09;HAI18;PAR07;UZB16
CPV10;HAI19;PAR08;UZB17
CPV11;HAI20;PAR09;UZB18
CPV12;IRN01;PAR10;UZB19
CPV13;IRN02;PAR11;UZB20
CPV14;IRN03;PAR12;
CPV15;IRN04;PAR13;
